month,destination,tonnes
2017-01,Argentina,104
2017-01,Australia,402
2017-01,Brazil,431
2017-01,China,275
2017-01,Colombia,96
2017-01,France,685
2017-01,Germany,490
2017-01,India,227
2017-01,Indonesia,201
2017-01,Italy,253
2017-01,Japan,35
2017-01,Mexico,713
2017-01,Netherlands,98
2017-01,Nigeria,127
2017-01,Philippines,100
2017-01,South Korea,26
2017-01,Spain,201
2017-01,Turkey,186
2017-01,United Kingdom,377
2017-01,United States,1348
2017-02,Argentina,103
2017-02,Australia,399
2017-02,Brazil,429
2017-02,China,273
2017-02,Colombia,95
2017-02,France,681
2017-02,Germany,488
2017-02,India,226
2017-02,Indonesia,200
2017-02,Italy,252
2017-02,Japan,35
2017-02,Mexico,709
2017-02,Netherlands,98
2017-02,Nigeria,126
2017-02,Philippines,99
2017-02,South Korea,26
2017-02,Spain,199
2017-02,Turkey,185
2017-02,United Kingdom,375
2017-02,United States,1340
2017-03,Argentina,98
2017-03,Australia,379
2017-03,Brazil,407
2017-03,China,259
2017-03,Colombia,91
2017-03,France,647
2017-03,Germany,463
2017-03,India,214
2017-03,Indonesia,190
2017-03,Italy,239
2017-03,Japan,33
2017-03,Mexico,673
2017-03,Netherlands,93
2017-03,Nigeria,120
2017-03,Philippines,94
2017-03,South Korea,24
2017-03,Spain,189
2017-03,Turkey,175
2017-03,United Kingdom,356
2017-03,United States,1273
2017-04,Argentina,114
2017-04,Australia,441
2017-04,Brazil,473
2017-04,China,301
2017-04,Colombia,105
2017-04,France,752
2017-04,Germany,538
2017-04,India,249
2017-04,Indonesia,221
2017-04,Italy,278
2017-04,Japan,38
2017-04,Mexico,783
2017-04,Netherlands,108
2017-04,Nigeria,139
2017-04,Philippines,109
2017-04,South Korea,28
2017-04,Spain,220
2017-04,Turkey,204
2017-04,United Kingdom,414
2017-04,United States,1480
2017-05,Argentina,129
2017-05,Australia,497
2017-05,Brazil,534
2017-05,China,340
2017-05,Colombia,119
2017-05,France,849
2017-05,Germany,607
2017-05,India,281
2017-05,Indonesia,249
2017-05,Italy,313
2017-05,Japan,43
2017-05,Mexico,883
2017-05,Netherlands,122
2017-05,Nigeria,157
2017-05,Philippines,123
2017-05,South Korea,32
2017-05,Spain,248
2017-05,Turkey,230
2017-05,United Kingdom,466
2017-05,United States,1669
2017-06,Argentina,157
2017-06,Australia,607
2017-06,Brazil,652
2017-06,China,415
2017-06,Colombia,145
2017-06,France,1036
2017-06,Germany,741
2017-06,India,343
2017-06,Indonesia,304
2017-06,Italy,382
2017-06,Japan,53
2017-06,Mexico,1078
2017-06,Netherlands,149
2017-06,Nigeria,192
2017-06,Philippines,151
2017-06,South Korea,39
2017-06,Spain,303
2017-06,Turkey,281
2017-06,United Kingdom,570
2017-06,United States,2038
2017-07,Argentina,176
2017-07,Australia,678
2017-07,Brazil,728
2017-07,China,464
2017-07,Colombia,162
2017-07,France,1157
2017-07,Germany,828
2017-07,India,383
2017-07,Indonesia,340
2017-07,Italy,427
2017-07,Japan,59
2017-07,Mexico,1204
2017-07,Netherlands,166
2017-07,Nigeria,214
2017-07,Philippines,168
2017-07,South Korea,44
2017-07,Spain,339
2017-07,Turkey,314
2017-07,United Kingdom,636
2017-07,United States,2276
2017-08,Argentina,162
2017-08,Australia,626
2017-08,Brazil,671
2017-08,China,427
2017-08,Colombia,149
2017-08,France,1067
2017-08,Germany,764
2017-08,India,353
2017-08,Indonesia,313
2017-08,Italy,394
2017-08,Japan,55
2017-08,Mexico,1110
2017-08,Netherlands,153
2017-08,Nigeria,198
2017-08,Philippines,155
2017-08,South Korea,40
2017-08,Spain,312
2017-08,Turkey,289
2017-08,United Kingdom,587
2017-08,United States,2099
2017-09,Argentina,120
2017-09,Australia,463
2017-09,Brazil,497
2017-09,China,317
2017-09,Colombia,111
2017-09,France,790
2017-09,Germany,565
2017-09,India,262
2017-09,Indonesia,232
2017-09,Italy,292
2017-09,Japan,40
2017-09,Mexico,822
2017-09,Netherlands,113
2017-09,Nigeria,146
2017-09,Philippines,115
2017-09,South Korea,30
2017-09,Spain,231
2017-09,Turkey,214
2017-09,United Kingdom,434
2017-09,United States,1554
2017-10,Argentina,82
2017-10,Australia,315
2017-10,Brazil,338
2017-10,China,215
2017-10,Colombia,75
2017-10,France,538
2017-10,Germany,385
2017-10,India,178
2017-10,Indonesia,158
2017-10,Italy,198
2017-10,Japan,27
2017-10,Mexico,559
2017-10,Netherlands,77
2017-10,Nigeria,100
2017-10,Philippines,78
2017-10,South Korea,20
2017-10,Spain,157
2017-10,Turkey,146
2017-10,United Kingdom,296
2017-10,United States,1057
2017-11,Argentina,76
2017-11,Australia,294
2017-11,Brazil,316
2017-11,China,201
2017-11,Colombia,70
2017-11,France,502
2017-11,Germany,359
2017-11,India,166
2017-11,Indonesia,147
2017-11,Italy,185
2017-11,Japan,26
2017-11,Mexico,522
2017-11,Netherlands,72
2017-11,Nigeria,93
2017-11,Philippines,73
2017-11,South Korea,19
2017-11,Spain,147
2017-11,Turkey,136
2017-11,United Kingdom,276
2017-11,United States,987
2017-12,Argentina,79
2017-12,Australia,305
2017-12,Brazil,328
2017-12,China,209
2017-12,Colombia,73
2017-12,France,521
2017-12,Germany,373
2017-12,India,172
2017-12,Indonesia,153
2017-12,Italy,192
2017-12,Japan,27
2017-12,Mexico,542
2017-12,Netherlands,75
2017-12,Nigeria,96
2017-12,Philippines,76
2017-12,South Korea,20
2017-12,Spain,152
2017-12,Turkey,141
2017-12,United Kingdom,286
2017-12,United States,1024
