destination,port,lat,lon
United States,Los Angeles,33.74,-118.27
Mexico,Manzanillo,19.05,-104.32
France,Le Havre,49.48,0.11
Germany,Hamburg,53.54,9.97
Brazil,Santos,-23.96,-46.30
Australia,Melbourne,-37.83,144.93
United Kingdom,Felixstowe,51.95,1.31
China,Shanghai,30.63,122.06
Italy,Genoa,44.40,8.92
India,Mumbai,18.95,72.85
Indonesia,Jakarta,-6.10,106.88
Spain,Valencia,39.44,-0.32
Turkey,Istanbul,40.96,28.66
Nigeria,Lagos,6.43,3.38
Argentina,Buenos Aires,-34.58,-58.37
Philippines,Manila,14.58,120.96
Netherlands,Rotterdam,51.95,4.14
Colombia,Cartagena,10.39,-75.51
Japan,Tokyo,35.63,139.79
South Korea,Busan,35.10,129.04
