site,destination,km,sea_days
Rotterdam,United States,14469,13.6
Rotterdam,Mexico,12096,11.3
Rotterdam,France,432,0.4
Rotterdam,Germany,551,0.5
Rotterdam,Brazil,10157,9.5
Rotterdam,Australia,20680,19.4
Rotterdam,United Kingdom,205,0.2
Rotterdam,China,19478,18.3
Rotterdam,Italy,4162,3.9
Rotterdam,India,11789,11.1
Rotterdam,Indonesia,16011,15.0
Rotterdam,Spain,3290,3.1
Rotterdam,Turkey,5844,5.5
Rotterdam,Nigeria,7869,7.4
Rotterdam,Argentina,11806,11.1
Rotterdam,Philippines,18011,16.9
Rotterdam,Netherlands,0,0.0
Rotterdam,Colombia,8719,8.2
Rotterdam,Japan,20954,19.6
Rotterdam,South Korea,20185,18.9
Savannah,United States,8497,8.0
Savannah,Mexico,6124,5.7
Savannah,France,6800,6.4
Savannah,Germany,7485,7.0
Savannah,Brazil,9325,8.7
Savannah,Australia,18075,16.9
Savannah,United Kingdom,7025,6.6
Savannah,China,18997,17.8
Savannah,Italy,8449,7.9
Savannah,India,16075,15.1
Savannah,Indonesia,20297,19.0
Savannah,Spain,7576,7.1
Savannah,Turkey,10130,9.5
Savannah,Nigeria,9853,9.2
Savannah,Argentina,10974,10.3
Savannah,Philippines,20576,19.3
Savannah,Netherlands,7134,6.7
Savannah,Colombia,3388,3.2
Savannah,Japan,17480,16.4
Savannah,South Korea,18154,17.0
Santos,United States,14011,13.1
Santos,Mexico,11637,10.9
Santos,France,9814,9.2
Santos,Germany,10650,10.0
Santos,Brazil,0,0.0
Santos,Australia,14829,13.9
Santos,United Kingdom,10048,9.4
Santos,China,20449,19.2
Santos,Italy,9891,9.3
Santos,India,14885,14.0
Santos,Indonesia,15927,14.9
Santos,Spain,9018,8.5
Santos,Turkey,11572,10.8
Santos,Nigeria,6988,6.6
Santos,Argentina,1943,1.8
Santos,Philippines,18777,17.6
Santos,Netherlands,10157,9.5
Santos,Colombia,8007,7.5
Santos,Japan,21496,20.2
Santos,South Korea,21155,19.8
Singapore,United States,14429,13.5
Singapore,Mexico,16649,15.6
Singapore,France,15154,14.2
Singapore,Germany,15990,15.0
Singapore,Brazil,16780,15.7
Singapore,Australia,7289,6.8
Singapore,United Kingdom,15388,14.4
Singapore,China,3991,3.7
Singapore,Italy,12059,11.3
Singapore,India,4650,4.4
Singapore,Indonesia,951,0.9
Singapore,Spain,12483,11.7
Singapore,Turkey,10826,10.1
Singapore,Nigeria,15373,14.4
Singapore,Argentina,17158,16.1
Singapore,Philippines,2524,2.4
Singapore,Netherlands,15498,14.5
Singapore,Colombia,20366,19.1
Singapore,Japan,5467,5.1
Singapore,South Korea,4698,4.4
